,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
借用金_down,credit ,借用金、負債の部、銀行業 ,Borrowed money-liabilities-BNK ,Borrowed money ,借用金 ,cyan
借用金利息_down,debit ,借用金利息、経常費用、銀行業 ,Interest on borrowings and rediscounts-OE-BNK ,Interest on borrowings and rediscounts ,借用金利息 ,cyan
借船料_down,debit ,借船料、海運業費用 ,Ship rental fee-expenses-shipping ,Ship rental fee ,借船料 ,cyan
偶発損失引当金_down,credit ,偶発損失引当金、流動負債 ,Provision for contingent loss-CL ,Provision for contingent loss ,偶発損失引当金 ,cyan
偶発損失引当金繰入額_down,debit ,偶発損失引当金繰入額、特別損失 ,Provision for contingent loss-EL ,Provision for contingent loss ,偶発損失引当金繰入額 ,cyan
偽造ハイウェイカード損失_down,debit ,偽造ハイウェイカード損失、特別損失、高速道路事業 ,Loss on forged highway card-EL-HWY ,Loss on forged highway card ,偽造ハイウェイカード損失 ,cyan
債券_down,credit ,債券、負債の部、銀行業 ,Debentures-liabilities-BNK ,Debentures ,債券 ,cyan
債券利息_down,debit ,債券利息、銀行業 ,Interest on debentures-BNK ,Interest on debentures ,債券利息 ,cyan
債券発行費用_down,debit ,債券発行費用、資産の部、銀行業 ,Debenture issuance cost-assets-BNK ,Debenture issuance cost ,債券発行費用 ,cyan
債券発行費用償却_down,debit ,債券発行費用償却、経常費用、銀行業 ,Amortization of debenture issuance cost-OE-BNK ,Amortization of debenture issuance cost ,債券発行費用償却 ,cyan
債券発行高_down,credit ,債券発行高、負債の部、銀行業 ,Debenture issuance-liabilities-BNK ,Debenture issuance ,債券発行高 ,cyan
債券等トレーディング損益_down,credit ,債券等トレーディング損益、営業収益、第一種金融商品取引業 ,Net trading income from bonds-OR-SEC ,Net trading income from bonds ,債券等トレーディング損益 ,cyan
債券繰延資産_down,debit ,債券繰延資産、資産の部、銀行業 ,Deferred debenture discounts-assets-BNK ,Deferred debenture discounts ,債券繰延資産 ,cyan
債券貸借取引受入利息_down,credit ,債券貸借取引受入利息、経常収益、銀行業 ,Interest on receivables under securities borrowing transactions-OI-BNK ,Interest on receivables under securities borrowing transactions ,債券貸借取引受入利息 ,cyan
債券貸借取引受入担保金_down,credit ,債券貸借取引受入担保金、負債の部、保険業 ,Payable under securities lending transactions-liabilities-INS ,Payable under securities lending transactions ,債券貸借取引受入担保金 ,cyan
債券貸借取引支払保証金_down,debit ,債券貸借取引支払保証金、資産の部、銀行業 ,Receivables under securities borrowing transactions-assets-BNK ,Receivables under securities borrowing transactions ,債券貸借取引支払保証金 ,cyan
債券貸借取引支払利息_down,debit ,債券貸借取引支払利息、経常費用、銀行業 ,Interest on payables under securities lending transactions-OE-BNK ,Interest on payables under securities lending transactions ,債券貸借取引支払利息 ,cyan
債務保証_down,credit ,債務保証、負債の部、銀行業 ,Guarantee of obligation-liabilities-BNK ,Guarantee of obligation ,債務保証 ,cyan
債務保証損失引当金_down,credit ,債務保証損失引当金 ,Provision for loss on guarantees ,Provision for loss on guarantees ,債務保証損失引当金 ,cyan
債務保証損失引当金戻入額_down,credit ,債務保証損失引当金戻入額、特別利益 ,Reversal of provision for loss on guarantees-EI ,Reversal of provision for loss on guarantees ,債務保証損失引当金戻入額 ,cyan
債務保証損失引当金繰入額_down,debit ,債務保証損失引当金繰入額、特別損失 ,Provision for loss on guarantees-EL ,Provision for loss on guarantees ,債務保証損失引当金繰入額 ,cyan
債務保証見返_down,debit ,債務保証見返、資産の部、銀行業 ,Guarantee of obligation-per contra-assets-BNK ,Guarantee of obligation - per contra ,債務保証見返 ,cyan
債務免除益_down,credit ,債務免除益、特別利益 ,Gain on forgiveness of debts-EI ,Gain on forgiveness of debts ,債務免除益 ,cyan
債務勘定整理益_down,credit ,債務勘定整理益、営業外収益 ,Gain on adjustment of account payable-NOI ,Gain on adjustment of account payable ,債務勘定整理益 ,cyan
債権売却損_down,debit ,債権売却損、営業外費用 ,Loss on transfer of receivables-NOE ,Loss on transfer of receivables ,債権売却損 ,cyan
債権流動化に伴う支払債務_down,credit ,債権流動化に伴う支払債務、流動負債、リース事業 ,Payables under fluidity lease receivables-CL-LEA ,Payables under fluidity lease receivables ,債権流動化に伴う支払債務 ,cyan
債権流動化に伴う長期支払債務_down,credit ,1年内支払予定の債権流動化に伴う長期支払債務、流動負債、リース事業 ,Current portion of long-term payables under fluidity lease receivables-CL-LEA ,Current portion of long-term payables under fluidity lease receivables ,債権流動化に伴う長期支払債務 ,cyan
債権買取原価_down,debit ,債権買取原価、営業活動による費用・売上原価 ,Cost of purchased receivables - COSExpOA ,Cost of purchased receivables ,債権買取原価 ,cyan
償却債権取立益_down,credit ,償却債権取立益、特別利益 ,Gain on bad debts recovered-EI ,Gain on bad debts recovered ,償却債権取立益 ,cyan
償却資産圧縮積立金_down,credit ,償却資産圧縮積立金 ,Reserve for tax purpose reduction entry of depreciable assets ,Reserve for tax purpose reduction entry of depreciable assets ,償却資産圧縮積立金 ,cyan
償還金_down,debit ,償還金、流動資産、投資運用業 ,Redemption-CA-IVT ,Redemption ,償還金 ,cyan
優先出資中間配当額_down,debit ,優先出資中間配当額、資産流動化業 ,Interim dividends - preferred shares-LIQ ,Interim dividends - preferred shares ,優先出資中間配当額 ,cyan
優先出資申込証拠金_down,credit ,優先出資申込証拠金、資産流動化業 ,Deposit for subscriptions to preferred shares-LIQ ,Deposit for subscriptions to preferred shares ,優先出資申込証拠金 ,cyan
優先出資申込証拠金又は優先出資払込金_down,credit ,優先出資申込証拠金又は優先出資払込金、資産流動化業 ,Deposit or paid-in advance for subscriptions to preferred shares-LIQ ,Deposit or paid-in advance for subscriptions to preferred shares ,優先出資申込証拠金又は優先出資払込金 ,cyan
優先出資金_down,credit ,優先出資金、銀行業（信金） ,Preferred shares-shinkin-BNK ,Preferred shares ,優先出資金 ,cyan
優先資本金_down,credit ,優先資本金、資産流動化業 ,Preferred shares-LIQ ,Preferred shares ,優先資本金 ,cyan
先物取引受入証拠金_down,credit ,先物取引受入証拠金、流動負債、第一種金融商品取引業 ,Initial margins of futures markets-liabilities-CL-SEC ,Initial margins of futures markets ,先物取引受入証拠金 ,cyan
先物取引差入証拠金_down,debit ,先物取引差入証拠金、資産の部、保険業 ,Initial margins of futures markets-assets-INS ,Initial margins of futures markets ,先物取引差入証拠金 ,cyan
先物取引差金勘定_down,debit ,先物取引差金勘定、資産の部、保険業 ,Variation margins of futures markets-assets-INS ,Variation margins of futures markets ,先物取引差金勘定 ,cyan
光ファイバ心線貸し事業営業収益_down,credit ,光ファイバ心線貸し事業営業収益、附帯事業営業収益、電気事業 ,Operating revenue-optical fiber electric wire lease business-OR-incidental-ELE ,Operating revenue - optical fiber electric wire lease business ,光ファイバ心線貸し事業営業収益 ,cyan
光ファイバ心線貸し事業営業費用_down,debit ,光ファイバ心線貸し事業営業費用、附帯事業営業費用、電気事業 ,Operating expenses-optical fiber electric wire lease business-OE-incidental-ELE ,Operating expenses - optical fiber electric wire lease business ,光ファイバ心線貸し事業営業費用 ,cyan
光熱・消耗品費_down,debit ,光熱・消耗品費、一般管理費、海運業 ,"Heating, lighting and supplies expenses-SGA-WAT ","Heating, lighting and supplies expenses ",光熱・消耗品費 ,cyan
光熱費_down,debit ,光熱費、販売費及び一般管理費 ,Heating and lighting expenses-SGA ,Heating and lighting expenses ,光熱費 ,cyan
入会保証金_down,debit ,入会保証金 ,Deposits on admission ,Deposits on admission ,入会保証金 ,cyan
入会金_down,debit ,入会金、投資その他の資産 ,Admission fee-IOA ,Admission fee ,入会金 ,cyan
全事業営業収益_down,credit ,全事業営業収益、鉄道事業 ,Operating revenue - all businesses - RWY ,Operating revenue - all businesses ,全事業営業収益 ,cyan
全事業営業費_down,debit ,全事業営業費、鉄道事業 ,Operating expenses - all businesses - RWY ,Operating expenses - all businesses ,全事業営業費 ,cyan
公共施設利用権_down,debit ,公共施設利用権 ,Right to use public facilities ,Right to use public facilities ,公共施設利用権 ,cyan
公共施設等運営権_down,debit ,公共施設等運営権 ,Right to operate public facilities ,Right to operate public facilities ,公共施設等運営権 ,cyan
公共施設等運営権に係る負債_down,credit ,公共施設等運営権に係る負債、流動負債 ,Liabilities related to right to operate public facilities - CL ,Liabilities related to right to operate public facilities ,公共施設等運営権に係る負債 ,cyan
公告費_down,debit ,公告費、営業費用、投資運用業 ,Publication expenses-OE-IVT ,Publication expenses ,公告費 ,cyan
公社債貸付金_down,debit ,公社債貸付金、流動資産 ,Bond financing-CA ,Bond financing ,公社債貸付金 ,cyan
公社債貸付金利息_down,credit ,公社債貸付金利息、営業活動による収益 ,Interest on bond financing-RevOA ,Interest on bond financing ,公社債貸付金利息 ,cyan
共同保険借_down,credit ,共同保険借、負債の部、保険業 ,Coinsurance accounts payable-liabilities-INS ,Coinsurance accounts payable ,共同保険借 ,cyan
共同保険貸_down,debit ,共同保険貸、資産の部、保険業 ,Coinsurance accounts receivable-assets-INS ,Coinsurance accounts receivable ,共同保険貸 ,cyan
共通費_down,debit ,共通費、営業費用、電気通信事業営業損益 ,Common expenses-OE-OIL-telecommunications ,Common expenses ,共通費 ,cyan
兼業_down,debit ,兼業、建設仮勘定、鉄道事業 ,Construction in progress - sideline businesses - RWY ,Construction in progress - sideline businesses ,兼業 ,cyan
兼業事業売上原価_down,debit ,兼業事業売上原価、建設業 ,Cost of sales in sideline businesses - CNS ,Cost of sales in sideline businesses ,兼業事業売上原価 ,cyan
兼業事業売上高_down,credit ,兼業事業売上高、建設業 ,Net sales in sideline businesses - CNS ,Net sales in sideline businesses ,兼業事業売上高 ,cyan
兼業営業収益_down,credit ,兼業営業収益、鉄道事業 ,Operating revenue - sideline businesses - RWY ,Operating revenue - sideline businesses ,兼業営業収益 ,cyan
兼業営業費_down,debit ,兼業営業費、鉄道事業 ,Operating expenses - sideline businesses - RWY ,Operating expenses - sideline businesses ,兼業営業費 ,cyan
兼業固定資産_down,debit ,兼業固定資産、兼業、鉄道事業 ,Non-current assets - sideline businesses - RWY ,Non-current assets - sideline businesses ,兼業固定資産 ,cyan
内燃力発電設備_down,debit ,内燃力発電設備、電気事業固定資産、電気事業 ,Internal combustion engine power production facilities-NCA-electric-ELE ,Internal combustion engine power production facilities ,内燃力発電設備 ,cyan
内燃力発電費_down,debit ,内燃力発電費、電気事業営業費用、電気事業 ,Internal combustion engine power production expenses-OE-electric-ELE ,Internal combustion engine power production expenses ,内燃力発電費 ,cyan
再エネ特措法交付金_down,credit ,再エネ特措法交付金、電気事業営業収益、電気事業 ,Grant under Act on Purchase of Renewable Energy Sourced Electricity-OR-electric-ELE ,Grant under Act on Purchase of Renewable Energy Sourced Electricity ,再エネ特措法交付金 ,cyan
再エネ特措法納付金_down,debit ,再エネ特措法納付金、電気事業営業費用、電気事業 ,Levy under Act on Purchase of Renewable Energy Sourced Electricity-OE-electric-ELE ,Levy under Act on Purchase of Renewable Energy Sourced Electricity ,再エネ特措法納付金 ,cyan
再保険借_down,credit ,再保険借、負債の部、保険業 ,Reinsurance accounts payable-liabilities-INS ,Reinsurance accounts payable ,再保険借 ,cyan
再保険収入_down,credit ,再保険収入、経常収益、保険業 ,Reinsurance premiums-OI-INS ,Reinsurance premiums ,再保険収入 ,cyan
再保険料_down,debit ,再保険料、経常費用、保険業 ,Reinsurance premiums-OE-INS ,Reinsurance premiums ,再保険料 ,cyan
再保険貸_down,debit ,再保険貸、資産の部、保険業 ,Reinsurance accounts receivable-assets-INS ,Reinsurance accounts receivable ,再保険貸 ,cyan
再割引手形_down,credit ,再割引手形、借用金、負債の部、銀行業 ,Bills rediscounted-borrowed money-liabilities-BNK ,Bills rediscounted ,再割引手形 ,cyan
再評価に係る繰延税金負債_down,credit ,再評価に係る繰延税金負債 ,Deferred tax liabilities for land revaluation ,Deferred tax liabilities for land revaluation ,再評価に係る繰延税金負債 ,cyan
再評価に係る繰延税金資産_down,debit ,再評価に係る繰延税金資産 ,Deferred tax assets for land revaluation ,Deferred tax assets for land revaluation ,再評価に係る繰延税金資産 ,cyan
出資剰余金_down,credit ,出資剰余金（総額）、投資業 ,"Capital surplus, gross - INV ",Capital surplus ,出資剰余金 ,cyan
出資剰余金控除額_down,credit ,出資剰余金控除額、投資業 ,Deduction from unitholders' capital surplus-INV ,Deduction from unitholders' capital surplus ,出資剰余金控除額 ,cyan
出資剰余金（純額）_down,credit ,出資剰余金（純額）、投資業 ,"Capital surplus, net-INV ","Capital surplus, net ",出資剰余金（純額） ,cyan
出資総額_down,credit ,出資総額（総額）、投資業 ,"Unitholders' capital, gross-INV ",Unitholders' capital ,出資総額 ,cyan
出資総額控除額_down,credit ,出資総額控除額、投資業 ,Deduction from unitholders' capital-INV ,Deduction from unitholders' capital ,出資総額控除額 ,cyan
出資金_down,credit ,出資金、銀行業（信金） ,Share capital - shinkin - BNK ,Share capital ,出資金 ,cyan
出資金評価損_down,debit ,出資金評価損、特別損失 ,Loss on valuation of investments in capital-EL ,Loss on valuation of investments in capital ,出資金評価損 ,cyan
出資金運用損_down,debit ,出資金運用損、営業外費用 ,Loss on investments in capital-NOE ,Loss on investments in capital ,出資金運用損 ,cyan
出資金運用益_down,credit ,出資金運用益、営業外収益 ,Gain on investments in capital-NOI ,Gain on investments in capital ,出資金運用益 ,cyan
分譲事業原価_down,debit ,分譲事業原価、営業活動による費用・売上原価 ,Cost of sales in residential property sales business 2 - COSExpOA ,Cost of sales in residential property sales business ,分譲事業原価 ,cyan
分譲事業収益_down,credit ,分譲事業収益、営業活動による収益 ,Selling business revenue-RevOA ,Selling business revenue ,分譲事業収益 ,cyan
分譲事業売上原価_down,debit ,分譲事業売上原価、営業活動による費用・売上原価 ,Cost of sales in residential property sales business - COSExpOA ,Cost of sales in residential property sales business ,分譲事業売上原価 ,cyan
分譲事業売上高_down,credit ,分譲事業売上高、営業活動による収益 ,Sales in residential property sales business - RevOA ,Sales in residential property sales business ,分譲事業売上高 ,cyan
分譲土地_down,debit ,分譲土地 ,Land for sale in lots ,Land for sale in lots ,分譲土地 ,cyan
分譲土地建物_down,debit ,分譲土地建物 ,Land and buildings for sale in lots ,Land and buildings for sale in lots ,分譲土地建物 ,cyan
別途積立金_down,credit ,別途積立金 ,General reserve ,General reserve ,別途積立金 ,cyan
利息及び配当金収入_down,credit ,利息及び配当金収入、経常収益、保険業 ,Interest and dividend income-OI-INS ,Interest and dividend income ,利息及び配当金収入 ,cyan
利息及び配当金等収入_down,credit ,利息及び配当金等収入、経常収益、保険業 ,"Interest, dividends and other income-OI-INS ","Interest, dividends and other income ",利息及び配当金等収入 ,cyan
利息返還損失引当金_down,credit ,利息返還損失引当金、流動負債 ,Provision for loss on interest repayment-CL ,Provision for loss on interest repayment ,利息返還損失引当金 ,cyan
利息返還損失引当金繰入額_down,debit ,利息返還損失引当金繰入額、特別損失 ,Provision for loss on interest repayment-EL ,Provision for loss on interest repayment ,利息返還損失引当金繰入額 ,cyan
利益剰余金_down,credit ,利益剰余金 ,Retained earnings ,Retained earnings ,利益剰余金 ,cyan
利益準備金_down,credit ,利益準備金 ,Legal retained earnings ,Legal retained earnings ,利益準備金 ,cyan
制作収入_down,credit ,制作収入、営業活動による収益 ,Production income-RevOA ,Production income ,制作収入 ,cyan
前受リース料_down,credit ,前受リース料、流動負債、リース事業 ,Unearned lease income-CL-LEA ,Unearned lease income ,前受リース料 ,cyan
前受収益_down,credit ,前受収益 ,Unearned revenue ,Unearned revenue ,前受収益 ,cyan
前受工事負担金_down,credit ,前受工事負担金 ,Deferred contribution for construction ,Deferred contribution for construction ,前受工事負担金 ,cyan
前受運賃_down,credit ,前受運賃、流動負債、鉄道事業 ,Prepaid fares received-CL-RWY ,Prepaid fares received ,前受運賃 ,cyan
前受金_down,credit ,前受金 ,Advances received ,Advances received ,前受金 ,cyan
前払年金費用_down,debit ,前払年金費用、資産の部 ,Prepaid pension cost-assets ,Prepaid pension cost ,前払年金費用 ,cyan
前払費用_down,debit ,前払費用 ,Prepaid expenses ,Prepaid expenses ,前払費用 ,cyan
前払金_down,debit ,前払金、流動資産、電気事業 ,Advance payments-CA-ELE ,Advance payments ,前払金 ,cyan
前渡金_down,debit ,前渡金 ,Advance payments-trade ,Advance payments - trade ,前渡金 ,cyan
副産物_down,debit ,副産物 ,By-product ,By-product ,副産物 ,cyan
副産物売上高_down,credit ,副産物売上高、営業活動による収益 ,Sales of by-products-RevOA ,Sales of by-products ,副産物売上高 ,cyan
剰余金_down,credit ,剰余金、投資業 ,Surplus-INV ,Surplus ,剰余金 ,cyan
割増退職金_down,debit ,割増退職金、特別損失 ,Extra retirement payments-EL ,Extra retirement payments ,割増退職金 ,cyan
割引手形_down,debit ,割引手形、貸出金、資産の部、銀行業 ,Bills discounted-loans and bills discounted-assets-BNK ,Bills discounted ,割引手形 ,cyan
割賦債務_down,credit ,割賦債務、流動負債、リース事業 ,Installment payables-CL-LEA ,Installment payables ,割賦債務 ,cyan
割賦債権_down,debit ,割賦債権、流動資産、リース事業 ,Installment receivables - CA - LEA ,Installment receivables ,割賦債権 ,cyan
割賦利益繰延_down,credit ,割賦利益繰延、流動負債 ,Deferred installment income-CL ,Deferred installment income ,割賦利益繰延 ,cyan
割賦原価_down,debit ,割賦原価、売上原価、リース事業 ,Installment cost-COS-LEA ,Installment cost ,割賦原価 ,cyan
割賦売上高_down,credit ,割賦売上高、売上高、リース事業 ,Installment sales-sales-LEA ,Installment sales ,割賦売上高 ,cyan
割賦売掛金_down,debit ,割賦売掛金 ,Accounts receivable-installment ,Accounts receivable - installment ,割賦売掛金 ,cyan
割賦未実現利益_down,credit ,割賦未実現利益、流動負債、リース事業 ,Deferred profit on installment sales-CL-LEA ,Deferred profit on installment sales ,割賦未実現利益 ,cyan
割賦販売売上高_down,credit ,割賦販売売上高、営業活動による収益 ,Installment sales-RevOA ,Installment sales ,割賦販売売上高 ,cyan
割賦販売未実現利益戻入額_down,credit ,割賦販売未実現利益戻入額、差引売上総利益 ,Reversal of unrealized income on installment sales-GP ,Reversal of unrealized income on installment sales ,割賦販売未実現利益戻入額 ,cyan
割賦販売未実現利益繰入額_down,debit ,割賦販売未実現利益繰入額、差引売上総利益 ,Provision of unrealized income on installment sales-GP ,Provision of unrealized income on installment sales ,割賦販売未実現利益繰入額 ,cyan
割賦購入あっせん収益_down,credit ,割賦購入あっせん収益、営業活動による収益 ,Revenue from agency services of installment purchase-RevOA ,Revenue from agency services of installment purchase ,割賦購入あっせん収益 ,cyan
創立費_down,debit ,創立費、繰延資産 ,Organization expenses - DA ,Organization expenses ,創立費 ,cyan
創立費償却_down,debit ,創立費償却、営業外費用 ,Amortization of organization expenses - NOE ,Amortization of organization expenses ,創立費償却 ,cyan
加工中等核燃料_down,debit ,加工中等核燃料、固定資産、電気事業 ,Nuclear fuel in processing-NCA-ELE ,Nuclear fuel in processing ,加工中等核燃料 ,cyan
加工料収入_down,credit ,加工料収入、営業活動による収益 ,Processing income-RevOA ,Processing income ,加工料収入 ,cyan
加盟店からの収入_down,credit ,加盟店からの収入、営業活動による収益 ,Income from franchised stores-RevOA ,Income from franchised stores ,加盟店からの収入 ,cyan
加盟店借勘定_down,credit ,加盟店借勘定 ,Accounts payable - due to franchised stores ,Accounts payable - due to franchised stores ,加盟店借勘定 ,cyan
加盟店貸勘定_down,debit ,加盟店貸勘定 ,Accounts receivable-due from franchised stores ,Accounts receivable - due from franchised stores ,加盟店貸勘定 ,cyan
助成金収入_down,credit ,助成金収入、営業外収益 ,Subsidy income-2-NOI ,Subsidy income ,助成金収入 ,cyan
動力用水光熱費_down,debit ,動力用水光熱費、販売費及び一般管理費 ,Power utilities expenses-SGA ,Power utilities expenses ,動力用水光熱費 ,cyan
募集・売出しの取扱手数料_down,credit ,募集・売出しの取扱手数料、営業収益、第一種金融商品取引業 ,Offering and secondary distribution fees - OR - SEC ,Offering and secondary distribution fees ,募集・売出しの取扱手数料 ,cyan
募集・売出し・特定投資家向け売付け勧誘等の取扱手数料_down,credit ,募集・売出し・特定投資家向け売付け勧誘等の取扱手数料、営業収益、第一種金融商品取引業 ,"Fees for offering, secondary distribution and solicitation for selling and others for professional investors - OR - SEC ","Fees for offering, secondary distribution and solicitation for selling and others for professional investors ",募集・売出し・特定投資家向け売付け勧誘等の取扱手数料 ,cyan
募集等受入金_down,credit ,募集等受入金、流動負債、第一種金融商品取引業 ,Deposits for subscription-CL-SEC ,Deposits for subscription ,募集等受入金 ,cyan
募集等払込金_down,debit ,募集等払込金、流動資産、第一種金融商品取引業 ,Cash paid for offering-CA-SEC ,Cash paid for offering ,募集等払込金 ,cyan
募集費_down,debit ,募集費、販売費及び一般管理費 ,Offering expenses-SGA ,Offering expenses ,募集費 ,cyan
包括信用購入あっせん収益_down,credit ,包括信用購入あっせん収益、営業活動による収益 ,Revenue from credit card business-RevOA ,Revenue from credit card business ,包括信用購入あっせん収益 ,cyan
医療用器械備品_down,debit ,医療用器械備品、社会医療法人 ,Medical instrument and equipment-MED ,Medical instrument and equipment ,医療用器械備品 ,cyan
医療用器械備品（純額）_down,debit ,医療用器械備品（純額）、社会医療法人 ,"Medical instrument and equipment, net-MED ","Medical instrument and equipment, net ",医療用器械備品（純額） ,cyan
匿名組合出資金_down,debit ,匿名組合出資金 ,Investments in silent partnerships ,Investments in silent partnerships ,匿名組合出資金 ,cyan
匿名組合投資利益_down,credit ,匿名組合投資利益、特別利益 ,Gain on investments in silent partnerships - EI ,Gain on investments in silent partnerships ,匿名組合投資利益 ,cyan
匿名組合投資損失_down,debit ,匿名組合投資損失、特別損失 ,Loss on investments in silent partnerships - EL ,Loss on investments in silent partnerships ,匿名組合投資損失 ,cyan
匿名組合損益分配額_down,debit ,匿名組合損益分配額 ,Distributions of profit or loss on silent partnerships ,Distributions of profit or loss on silent partnerships ,匿名組合損益分配額 ,cyan
半成工事_down,debit ,半成工事 ,Partly-finished work ,Partly-finished work ,半成工事 ,cyan
半製品_down,debit ,半製品 ,Semi-finished goods ,Semi-finished goods ,半製品 ,cyan
半製品売上高_down,credit ,半製品売上高、営業活動による収益 ,Sales of semi-finished goods-RevOA ,Sales of semi-finished goods ,半製品売上高 ,cyan
協会基金_down,debit ,協会基金、無形固定資産、投資運用業 ,Association fund-IA-IVT ,Association fund ,協会基金 ,cyan
協会費_down,debit ,協会費、営業費用、投資運用業 ,Association fee-OE-IVT ,Association fee ,協会費 ,cyan
協会費諸会費_down,debit ,協会費諸会費、販売費及び一般管理費、建設保証業 ,Association and other membership fee-SGA-CNA ,Association and other membership fee ,協会費諸会費 ,cyan
協賛金収入_down,credit ,協賛金収入、営業外収益 ,Sponsorship money income - NOI ,Sponsorship money income ,協賛金収入 ,cyan
印刷費_down,debit ,印刷費、営業費用、投資運用業 ,Print expenses-OE-IVT ,Print expenses ,印刷費 ,cyan
厚生年金基金代行返上損_down,debit ,厚生年金基金代行返上損、特別損失 ,Loss on transfer of benefit obligation relating to employees' pension fund-EL ,Loss on transfer of benefit obligation relating to employees' pension fund ,厚生年金基金代行返上損 ,cyan
厚生年金基金代行返上益_down,credit ,厚生年金基金代行返上益、特別利益 ,Gain on transfer of benefit obligation relating to employees' pension fund-EI ,Gain on transfer of benefit obligation relating to employees' pension fund ,厚生年金基金代行返上益 ,cyan
厚生福利施設費_down,debit ,厚生福利施設費、営業費、鉄道事業 ,Welfare facilities expenses-OE-RWY ,Welfare facilities expenses ,厚生福利施設費 ,cyan
原価変動調整積立金_down,credit ,原価変動調整積立金、電気事業 ,Reserve for adjustment of cost fluctuations-ELE ,Reserve for adjustment of cost fluctuations ,原価変動調整積立金 ,cyan
原価差額_down,debit ,原価差額、売上原価 ,Cost variances - COS ,Cost variances ,原価差額 ,cyan
原因者負担収入_down,credit ,原因者負担収入、営業外収益、高速道路事業 ,Income from causative person-NOI-HWY ,Income from causative person ,原因者負担収入 ,cyan
原子力廃止関連仮勘定_down,debit ,原子力廃止関連仮勘定、固定資産仮勘定、電気事業 ,Special account related to nuclear power decommissioning - ELE ,Special account related to nuclear power decommissioning ,原子力廃止関連仮勘定 ,cyan
原子力廃止関連仮勘定償却費_down,debit ,原子力廃止関連仮勘定償却費、電気事業営業費用、電気事業 ,Amortization of special account related to nuclear power decommissioning - OE - electric - ELE ,Amortization of special account related to nuclear power decommissioning ,原子力廃止関連仮勘定償却費 ,cyan
原子力損害賠償資金補助金_down,credit ,原子力損害賠償資金補助金、特別利益、電気事業 ,Nuclear power compensation subsidy-ELE ,Nuclear power compensation subsidy ,原子力損害賠償資金補助金 ,cyan
原子力発電工事償却準備引当金_down,credit ,原子力発電工事償却準備引当金、特別法上の引当金、電気事業 ,Reserve for preparation of depreciation of nuclear power construction-reserves under special laws-ELE ,Reserve for preparation of depreciation of nuclear power construction ,原子力発電工事償却準備引当金 ,cyan
原子力発電工事償却準備金取崩し（貸方）_down,debit ,原子力発電工事償却準備金取崩し（貸方）、電気事業 ,Reversal of reserve for preparation of depreciation of nuclear power construction-ELE ,Reversal of reserve for preparation of depreciation of nuclear power construction ,原子力発電工事償却準備金取崩し（貸方） ,cyan
原子力発電工事償却準備金引当_down,debit ,原子力発電工事償却準備金引当、電気事業 ,Provision of reserve for preparation of depreciation of nuclear power construction-ELE ,Provision of reserve for preparation of depreciation of nuclear power construction ,原子力発電工事償却準備金引当 ,cyan
原子力発電工事償却準備金引当又は取崩し_down,debit ,原子力発電工事償却準備金引当又は取崩し、電気事業 ,Provision or reversal of reserve for preparation of depreciation of nuclear power construction-ELE ,Provision or reversal of reserve for preparation of depreciation of nuclear power construction ,原子力発電工事償却準備金引当又は取崩し ,cyan
原子力発電施設解体引当金_down,credit ,原子力発電施設解体引当金、固定負債、電気事業 ,Provision for decommissioning of nuclear power units-NCL-ELE ,Provision for decommissioning of nuclear power units ,原子力発電施設解体引当金 ,cyan
原子力発電設備_down,debit ,原子力発電設備、電気事業固定資産、電気事業 ,Nuclear power production facilities-NCA-electric-ELE ,Nuclear power production facilities ,原子力発電設備 ,cyan
原子力発電費_down,debit ,原子力発電費、電気事業営業費用、電気事業 ,Nuclear power production expenses-OE-electric-ELE ,Nuclear power production expenses ,原子力発電費 ,cyan
原料_down,debit ,原料、流動資産、ガス事業 ,Raw materials-CA-GAS ,Raw materials ,原料 ,cyan
原材料_down,debit ,原材料 ,Raw materials ,Raw materials ,原材料 ,cyan
原材料及び貯蔵品_down,debit ,原材料及び貯蔵品 ,Raw materials and supplies ,Raw materials and supplies ,原材料及び貯蔵品 ,cyan
原材料売上原価_down,debit ,原材料売上原価、営業活動による費用・売上原価 ,Cost of raw material sales-COSExpOA ,Cost of raw material sales ,原材料売上原価 ,cyan
原材料売上高_down,credit ,原材料売上高、営業活動による収益 ,Sales of raw materials-RevOA ,Sales of raw materials ,原材料売上高 ,cyan
原材料評価損_down,debit ,原材料評価損、営業外費用 ,Loss on valuation of raw materials-NOE ,Loss on valuation of raw materials ,原材料評価損 ,cyan
原賠・廃炉等支援機構資金交付金_down,credit ,原賠・廃炉等支援機構資金交付金、特別利益、電気事業 ,Grants-in-aid from Nuclear Damage Liability and Nuclear Reactor Decommission Facilitation Fund-EI-ELE ,Grants-in-aid from Nuclear Damage Liability and Nuclear Reactor Decommission Facilitation Fund ,原賠・廃炉等支援機構資金交付金 ,cyan
収入保証料_down,credit ,収入保証料、営業収益、建設保証業 ,Guarantee income-OR-CNA ,Guarantee income ,収入保証料 ,cyan
収入積立保険料_down,credit ,収入積立保険料、経常収益、保険業 ,Premiums of saving-type insurance-OI-INS ,Premiums of saving-type insurance ,収入積立保険料 ,cyan
収用補償金_down,credit ,収用補償金、特別利益 ,Compensation for expropriation - EI ,Compensation for expropriation ,収用補償金 ,cyan
